Instance: j3060_1
Chains: 2
Steps: 3
Neighbours Initial N: 100
Neighbours Increase Coefficient: 1
Temperature Max: 100
Temperature Increase Coefficient: 0.25
12.79user 0.03system 0:10.62elapsed 120%CPU (0avgtext+0avgdata 27152maxresident)k
12.87user 0.04system 0:10.72elapsed 120%CPU (0avgtext+0avgdata 27116maxresident)k
12.96user 0.04system 0:10.78elapsed 120%CPU (0avgtext+0avgdata 27144maxresident)k
12.76user 0.05system 0:10.78elapsed 118%CPU (0avgtext+0avgdata 27124maxresident)k
12.77user 0.03system 0:10.59elapsed 120%CPU (0avgtext+0avgdata 27180maxresident)k
12.75user 0.04system 0:10.59elapsed 120%CPU (0avgtext+0avgdata 27040maxresident)k
12.92user 0.03system 0:10.74elapsed 120%CPU (0avgtext+0avgdata 27016maxresident)k
12.74user 0.03system 0:10.57elapsed 120%CPU (0avgtext+0avgdata 27056maxresident)k
12.76user 0.04system 0:10.58elapsed 120%CPU (0avgtext+0avgdata 27304maxresident)k
12.85user 0.03system 0:10.67elapsed 120%CPU (0avgtext+0avgdata 27180maxresident)k
12.80user 0.04system 0:10.62elapsed 120%CPU (0avgtext+0avgdata 27148maxresident)k
12.73user 0.03system 0:10.57elapsed 120%CPU (0avgtext+0avgdata 27184maxresident)k
12.88user 0.02system 0:10.68elapsed 120%CPU (0avgtext+0avgdata 27092maxresident)k
12.90user 0.02system 0:10.70elapsed 120%CPU (0avgtext+0avgdata 27308maxresident)k
12.82user 0.04system 0:10.64elapsed 120%CPU (0avgtext+0avgdata 27344maxresident)k
12.76user 0.01system 0:10.56elapsed 120%CPU (0avgtext+0avgdata 27272maxresident)k
12.72user 0.02system 0:10.51elapsed 121%CPU (0avgtext+0avgdata 27148maxresident)k
12.74user 0.02system 0:10.55elapsed 120%CPU (0avgtext+0avgdata 27084maxresident)k
12.70user 0.03system 0:10.51elapsed 121%CPU (0avgtext+0avgdata 27148maxresident)k
12.79user 0.02system 0:10.61elapsed 120%CPU (0avgtext+0avgdata 27172maxresident)k
12.70user 0.02system 0:10.50elapsed 121%CPU (0avgtext+0avgdata 27308maxresident)k
12.72user 0.02system 0:10.52elapsed 121%CPU (0avgtext+0avgdata 27308maxresident)k
12.69user 0.02system 0:10.52elapsed 120%CPU (0avgtext+0avgdata 27020maxresident)k
12.77user 0.01system 0:10.55elapsed 121%CPU (0avgtext+0avgdata 27180maxresident)k
12.76user 0.01system 0:10.56elapsed 121%CPU (0avgtext+0avgdata 27096maxresident)k
12.77user 0.02system 0:10.56elapsed 121%CPU (0avgtext+0avgdata 27092maxresident)k
12.77user 0.02system 0:10.55elapsed 121%CPU (0avgtext+0avgdata 27144maxresident)k
12.82user 0.01system 0:10.60elapsed 121%CPU (0avgtext+0avgdata 27276maxresident)k
12.75user 0.01system 0:10.53elapsed 121%CPU (0avgtext+0avgdata 27180maxresident)k
12.71user 0.02system 0:10.50elapsed 121%CPU (0avgtext+0avgdata 27184maxresident)k
12.82user 0.01system 0:10.61elapsed 121%CPU (0avgtext+0avgdata 27272maxresident)k
12.77user 0.01system 0:10.59elapsed 120%CPU (0avgtext+0avgdata 27180maxresident)k
12.81user 0.02system 0:10.61elapsed 121%CPU (0avgtext+0avgdata 27180maxresident)k
12.96user 0.01system 0:10.75elapsed 120%CPU (0avgtext+0avgdata 27180maxresident)k
12.80user 0.02system 0:10.59elapsed 121%CPU (0avgtext+0avgdata 27272maxresident)k
Instance: j3060_1
Chains: 2
Steps: 3
Neighbours Initial N: 10000
Neighbours Increase Coefficient: 1
Temperature Max: 100
Temperature Increase Coefficient: 0.25
108.48user 0.13system 1:46.40elapsed 102%CPU (0avgtext+0avgdata 27064maxresident)k
108.24user 0.03system 1:46.17elapsed 101%CPU (0avgtext+0avgdata 27184maxresident)k
107.75user 0.03system 1:45.63elapsed 102%CPU (0avgtext+0avgdata 27148maxresident)k
107.86user 0.02system 1:45.72elapsed 102%CPU (0avgtext+0avgdata 27276maxresident)k
107.89user 0.01system 1:45.69elapsed 102%CPU (0avgtext+0avgdata 27144maxresident)k
108.48user 0.02system 1:46.37elapsed 102%CPU (0avgtext+0avgdata 27144maxresident)k
108.11user 0.02system 1:45.95elapsed 102%CPU (0avgtext+0avgdata 27272maxresident)k
106.34user 0.02system 1:44.15elapsed 102%CPU (0avgtext+0avgdata 27148maxresident)k
107.21user 0.01system 1:45.10elapsed 102%CPU (0avgtext+0avgdata 27216maxresident)k
107.49user 0.02system 1:45.28elapsed 102%CPU (0avgtext+0avgdata 27276maxresident)k
107.26user 0.03system 1:45.14elapsed 102%CPU (0avgtext+0avgdata 26936maxresident)k
108.72user 0.01system 1:46.50elapsed 102%CPU (0avgtext+0avgdata 27144maxresident)k
107.54user 0.02system 1:45.34elapsed 102%CPU (0avgtext+0avgdata 27084maxresident)k
110.92user 0.02system 1:48.77elapsed 102%CPU (0avgtext+0avgdata 27276maxresident)k
107.55user 0.02system 1:45.42elapsed 102%CPU (0avgtext+0avgdata 27144maxresident)k
106.31user 0.03system 1:44.10elapsed 102%CPU (0avgtext+0avgdata 27148maxresident)k
109.43user 0.02system 1:47.27elapsed 102%CPU (0avgtext+0avgdata 27144maxresident)k
108.85user 0.02system 1:46.96elapsed 101%CPU (0avgtext+0avgdata 27044maxresident)k
107.31user 0.02system 1:45.23elapsed 101%CPU (0avgtext+0avgdata 27148maxresident)k
106.56user 0.01system 1:44.34elapsed 102%CPU (0avgtext+0avgdata 27276maxresident)k
108.13user 0.02system 1:45.92elapsed 102%CPU (0avgtext+0avgdata 27276maxresident)k
106.76user 0.02system 1:44.54elapsed 102%CPU (0avgtext+0avgdata 27308maxresident)k
106.04user 0.02system 1:43.83elapsed 102%CPU (0avgtext+0avgdata 27312maxresident)k
106.34user 0.01system 1:44.14elapsed 102%CPU (0avgtext+0avgdata 27148maxresident)k
106.93user 0.01system 1:44.71elapsed 102%CPU (0avgtext+0avgdata 27020maxresident)k
106.87user 0.02system 1:44.66elapsed 102%CPU (0avgtext+0avgdata 27144maxresident)k
105.86user 0.01system 1:43.65elapsed 102%CPU (0avgtext+0avgdata 27308maxresident)k
107.70user 0.02system 1:45.48elapsed 102%CPU (0avgtext+0avgdata 27308maxresident)k
106.67user 0.01system 1:44.45elapsed 102%CPU (0avgtext+0avgdata 27276maxresident)k
